,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
1564073619558,4.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,97.0,93.0,93.0,89.0,89.0,86.0,86.0,83.0,81.0,80.0,76.0,76.0,72.0,71.0,68.0,66.0,66.0,62.0,62.0,58.0,58.0,53.0,51.0,50.0,48.0,44.0,2.0,38.0,39.0,39.0,37.0,27.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,100.0,99.0,96.0,94.0,91.0,91.0,90.0,90.0,88.0,88.0,88.0,87.0,85.0,82.0,80.0,75.0,77.0,74.0,74.0,70.0,67.0,67.0,64.0,62.0,61.0,60.0,55.0,54.0,57.0,29.0,54.0,54.0,51.0,48.0,48.0,44.0,3.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,18.0,23.0,28.0,32.0,32.0,35.0,34.0,35.0
1564073681538,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,65.0,68.0,71.0,71.0,72.0,68.0,68.0,64.0,65.0,60.0,60.0,57.0,58.0,57.0,53.0,50.0,49.0,46.0,46.0,43.0,41.0,39.0,38.0,33.0,33.0,30.0,30.0,26.0,25.0,21.0,21.0,18.0,18.0,14.0,14.0,10.0,9.0,10.0,9.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,19.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,62.0,67.0,66.0,67.0,65.0,62.0,64.0,61.0,59.0,55.0,56.0,59.0,53.0,52.0,49.0,49.0,46.0,45.0,44.0,42.0,41.0,40.0,38.0,38.0,35.0,36.0,35.0,32.0,32.0,29.0,28.0,29.0,29.0,23.0,23.0,22.0,2.0,22.0,18.0,19.0,23.0,24.0,23.0,20.0,20.0,21.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,20.0,20.0,23.0,22.0,25.0,25.0,27.0
1564073744014,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,43.0,47.0,50.0,54.0,54.0,54.0,53.0,49.0,50.0,47.0,45.0,45.0,45.0,42.0,38.0,37.0,33.0,34.0,30.0,29.0,27.0,26.0,24.0,23.0,19.0,18.0,18.0,13.0,13.0,10.0,9.0,6.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,66.0,64.0,69.0,72.0,66.0,62.0,64.0,63.0,60.0,61.0,59.0,56.0,56.0,49.0,53.0,49.0,50.0,47.0,43.0,44.0,41.0,40.0,36.0,42.0,41.0,41.0,39.0,39.0,30.0,30.0,30.0,29.0,23.0,23.0,29.0,25.0,25.0,2.0,15.0,17.0,2.0,18.0,20.0,13.0,14.0,16.0,14.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,11.0,15.0,14.0,18.0,19.0,20.0,19.0
1564073813583,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,42.0,46.0,47.0,47.0,45.0,47.0,43.0,43.0,39.0,38.0,35.0,35.0,30.0,31.0,27.0,27.0,26.0,22.0,22.0,18.0,18.0,15.0,14.0,10.0,10.0,7.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,70.0,72.0,73.0,70.0,69.0,71.0,69.0,66.0,65.0,63.0,60.0,60.0,59.0,61.0,53.0,54.0,52.0,49.0,48.0,46.0,42.0,43.0,41.0,41.0,38.0,36.0,33.0,32.0,31.0,29.0,25.0,24.0,23.0,20.0,21.0,21.0,15.0,2.0,16.0,2.0,11.0,11.0,12.0,7.0,8.0,7.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,2.0,2.0,7.0,10.0,13.0,12.0,13.0
1564073887142,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,39.0,45.0,46.0,46.0,44.0,45.0,42.0,42.0,38.0,37.0,35.0,35.0,31.0,30.0,27.0,26.0,23.0,22.0,19.0,16.0,16.0,15.0,10.0,10.0,6.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,45.0,58.0,60.0,60.0,59.0,53.0,54.0,53.0,53.0,50.0,51.0,46.0,41.0,45.0,42.0,43.0,37.0,34.0,38.0,33.0,31.0,30.0,32.0,27.0,27.0,26.0,26.0,23.0,23.0,23.0,20.0,19.0,19.0,16.0,16.0,15.0,2.0,13.0,17.0,2.0,14.0,16.0,9.0,10.0,6.0,8.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0
1564073949750,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,40.0,39.0,42.0,42.0,41.0,42.0,39.0,39.0,35.0,35.0,32.0,32.0,28.0,28.0,23.0,23.0,20.0,20.0,16.0,16.0,12.0,12.0,8.0,8.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,57.0,67.0,64.0,65.0,67.0,59.0,62.0,59.0,58.0,58.0,58.0,58.0,54.0,49.0,50.0,51.0,45.0,44.0,42.0,38.0,38.0,40.0,35.0,34.0,31.0,31.0,27.0,29.0,24.0,21.0,20.0,21.0,21.0,17.0,14.0,15.0,12.0,2.0,11.0,16.0,2.0,12.0,4.0,6.0,6.0,6.0,4.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0
1564074901310,6.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,74.0,78.0,80.0,81.0,81.0,81.0,79.0,76.0,75.0,74.0,71.0,71.0,67.0,67.0,65.0,62.0,61.0,57.0,57.0,54.0,54.0,50.0,49.0,45.0,42.0,42.0,39.0,38.0,34.0,33.0,30.0,26.0,27.0,23.0,23.0,19.0,19.0,16.0,15.0,14.0,10.0,2.0,3.0,6.0,5.0,6.0,23.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,90.0,92.0,90.0,91.0,89.0,92.0,89.0,91.0,86.0,83.0,83.0,82.0,81.0,80.0,82.0,77.0,75.0,72.0,72.0,72.0,69.0,69.0,66.0,63.0,64.0,61.0,58.0,59.0,56.0,53.0,53.0,49.0,50.0,46.0,45.0,43.0,39.0,2.0,38.0,2.0,36.0,34.0,35.0,34.0,35.0,30.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,2.0,2.0,2.0,2.0,6.0,10.0,10.0
1564074963960,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,37.0,41.0,45.0,45.0,46.0,45.0,41.0,42.0,41.0,38.0,37.0,32.0,33.0,28.0,28.0,26.0,23.0,23.0,19.0,19.0,14.0,14.0,13.0,10.0,8.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,16.0,62.0,67.0,69.0,67.0,69.0,64.0,62.0,56.0,65.0,60.0,58.0,55.0,54.0,52.0,51.0,48.0,48.0,47.0,46.0,43.0,39.0,39.0,35.0,39.0,33.0,32.0,30.0,36.0,29.0,26.0,23.0,21.0,20.0,21.0,20.0,21.0,10.0,21.0,2.0,16.0,19.0,18.0,15.0,15.0,14.0,12.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,12.0,18.0,20.0,25.0,24.0,23.0,25.0,27.0
1564642263541,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,97.0,97.0,93.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,95.0,96.0,92.0,92.0,91.0,89.0,88.0,85.0,86.0,67.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,35.0,44.0,52.0,57.0,61.0,65.0
1564642661002,25.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,92.0,93.0,90.0,85.0,86.0,82.0,80.0,77.0,76.0,73.0,70.0,69.0,67.0,63.0,63.0,59.0,57.0,52.0,49.0,49.0,46.0,43.0,42.0,37.0,33.0,32.0,29.0,26.0,3.0,20.0,23.0,23.0,22.0,74.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,97.0,95.0,92.0,90.0,87.0,87.0,86.0,89.0,61.0,91.0,87.0,83.0,77.0,82.0,76.0,73.0,16.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,36.0,39.0,49.0,56.0,61.0,66.0,72.0,73.0
1564643779721,24.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,96.0,94.0,91.0,87.0,88.0,84.0,84.0,81.0,79.0,78.0,74.0,75.0,72.0,71.0,68.0,64.0,64.0,60.0,60.0,57.0,56.0,52.0,48.0,47.0,44.0,43.0,39.0,38.0,33.0,2.0,27.0,27.0,28.0,28.0,39.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,94.0,96.0,98.0,95.0,94.0,92.0,91.0,91.0,89.0,88.0,88.0,87.0,87.0,83.0,83.0,82.0,79.0,79.0,77.0,75.0,73.0,71.0,68.0,70.0,67.0,64.0,63.0,56.0,60.0,34.0,63.0,59.0,57.0,54.0,51.0,53.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,10.0,14.0,20.0,22.0,22.0,23.0,23.0
1564643844821,3.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,86.0,86.0,87.0,89.0,91.0,91.0,90.0,87.0,87.0,86.0,82.0,82.0,81.0,80.0,76.0,73.0,74.0,70.0,71.0,66.0,67.0,63.0,62.0,59.0,58.0,55.0,53.0,51.0,50.0,47.0,43.0,43.0,38.0,38.0,35.0,35.0,30.0,30.0,28.0,27.0,24.0,19.0,2.0,14.0,16.0,14.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,32.0,77.0,81.0,81.0,83.0,83.0,78.0,77.0,77.0,76.0,74.0,74.0,69.0,70.0,69.0,66.0,64.0,65.0,62.0,61.0,58.0,59.0,60.0,53.0,54.0,54.0,51.0,49.0,48.0,45.0,46.0,44.0,43.0,42.0,39.0,39.0,36.0,2.0,32.0,26.0,30.0,33.0,33.0,29.0,28.0,27.0,27.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,13.0,15.0,18.0,21.0,25.0,21.0,23.0,25.0
1564643908677,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,59.0,63.0,67.0,68.0,67.0,67.0,64.0,64.0,61.0,60.0,59.0,56.0,53.0,53.0,49.0,50.0,45.0,44.0,41.0,37.0,37.0,35.0,33.0,30.0,28.0,27.0,25.0,22.0,22.0,18.0,18.0,14.0,13.0,10.0,9.0,8.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,57.0,78.0,78.0,80.0,79.0,79.0,74.0,78.0,76.0,76.0,75.0,73.0,73.0,68.0,71.0,67.0,62.0,64.0,63.0,59.0,57.0,55.0,55.0,53.0,52.0,50.0,47.0,49.0,44.0,43.0,43.0,40.0,38.0,38.0,33.0,36.0,34.0,33.0,2.0,28.0,2.0,24.0,23.0,23.0,20.0,18.0,18.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,2.0,5.0,9.0,12.0,14.0,15.0,16.0,17.0
1564643972288,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,63.0,64.0,68.0,68.0,69.0,68.0,68.0,68.0,65.0,65.0,62.0,57.0,56.0,53.0,54.0,50.0,49.0,46.0,45.0,44.0,40.0,36.0,35.0,32.0,29.0,29.0,25.0,25.0,21.0,21.0,20.0,17.0,13.0,12.0,9.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,47.0,65.0,65.0,62.0,67.0,65.0,62.0,61.0,61.0,60.0,57.0,57.0,56.0,56.0,51.0,48.0,49.0,43.0,46.0,42.0,43.0,38.0,36.0,36.0,37.0,34.0,35.0,34.0,29.0,30.0,28.0,22.0,23.0,22.0,21.0,18.0,2.0,16.0,22.0,4.0,15.0,15.0,12.0,12.0,12.0,12.0,10.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,8.0,12.0,14.0,21.0,21.0,21.0,17.0,20.0
1564645752983,70.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,96.0,93.0,90.0,90.0,86.0,86.0,81.0,78.0,78.0,76.0,75.0,48.0,68.0,69.0,69.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,94.0,95.0,91.0,91.0,90.0,87.0,84.0,83.0,83.0,81.0,78.0,78.0,77.0,76.0,74.0,84.0,74.0,75.0,71.0,68.0,69.0,64.0,63.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.0,35.0,41.0,41.0,43.0,47.0,47.0,45.0
1564645817522,22.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,96.0,93.0,93.0,89.0,88.0,85.0,83.0,81.0,78.0,75.0,71.0,70.0,68.0,66.0,65.0,61.0,57.0,56.0,53.0,53.0,50.0,46.0,42.0,42.0,40.0,38.0,33.0,33.0,29.0,28.0,2.0,19.0,20.0,20.0,20.0,19.0,24.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,97.0,100.0,98.0,99.0,99.0,97.0,98.0,93.0,95.0,96.0,95.0,96.0,90.0,90.0,88.0,89.0,86.0,86.0,84.0,81.0,80.0,77.0,75.0,72.0,73.0,70.0,70.0,68.0,65.0,65.0,61.0,60.0,58.0,56.0,52.0,50.0,47.0,2.0,43.0,44.0,34.0,44.0,40.0,39.0,37.0,34.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,0.0,23.0,29.0,33.0,37.0,38.0,41.0,41.0
1564645881070,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,54.0,58.0,62.0,62.0,62.0,62.0,59.0,59.0,55.0,55.0,54.0,51.0,48.0,48.0,47.0,45.0,44.0,41.0,40.0,37.0,37.0,33.0,32.0,29.0,28.0,25.0,25.0,21.0,18.0,18.0,17.0,14.0,14.0,9.0,9.0,8.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,69.0,74.0,71.0,72.0,72.0,70.0,69.0,64.0,66.0,65.0,61.0,56.0,62.0,56.0,58.0,59.0,53.0,51.0,49.0,47.0,45.0,46.0,42.0,42.0,42.0,38.0,37.0,37.0,34.0,35.0,33.0,29.0,28.0,28.0,29.0,28.0,2.0,24.0,2.0,23.0,24.0,21.0,20.0,20.0,21.0,18.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,13.0,19.0,22.0,25.0,28.0,27.0,25.0,27.0
1564645944238,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,62.0,67.0,68.0,69.0,70.0,69.0,66.0,67.0,66.0,62.0,62.0,60.0,59.0,55.0,54.0,51.0,51.0,48.0,45.0,44.0,42.0,37.0,36.0,32.0,32.0,29.0,28.0,25.0,26.0,21.0,21.0,17.0,16.0,13.0,13.0,12.0,8.0,8.0,8.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,63.0,82.0,81.0,83.0,82.0,83.0,80.0,82.0,82.0,76.0,78.0,78.0,76.0,70.0,71.0,68.0,68.0,68.0,62.0,62.0,62.0,59.0,57.0,56.0,52.0,54.0,49.0,48.0,44.0,45.0,42.0,39.0,37.0,35.0,35.0,32.0,30.0,31.0,2.0,27.0,2.0,22.0,26.0,20.0,20.0,19.0,17.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,5.0,10.0,13.0,19.0,18.0,19.0,17.0
